"DATE","TIME PERIOD","Compounded euro short-term rate average rate, 12 months tenor (EST.B.EU000A2QQF57.CR)"
"2020-10-01","01 Oct 2020","-0.54162"
"2020-10-02","02 Oct 2020","-0.54164"
"2020-10-05","05 Oct 2020","-0.54168"
"2020-10-06","06 Oct 2020","-0.54171"
"2020-10-07","07 Oct 2020","-0.54167"
"2020-10-08","08 Oct 2020","-0.54168"
"2020-10-09","09 Oct 2020","-0.54168"
"2020-10-12","12 Oct 2020","-0.54171"
"2020-10-13","13 Oct 2020","-0.54174"
"2020-10-14","14 Oct 2020","-0.54172"
"2020-10-15","15 Oct 2020","-0.54174"
"2020-10-16","16 Oct 2020","-0.54176"
"2020-10-19","19 Oct 2020","-0.54181"
"2020-10-20","20 Oct 2020","-0.54183"
"2020-10-21","21 Oct 2020","-0.54183"
"2020-10-22","22 Oct 2020","-0.54184"
"2020-10-23","23 Oct 2020","-0.54186"
"2020-10-26","26 Oct 2020","-0.54191"
"2020-10-27","27 Oct 2020","-0.54193"
"2020-10-28","28 Oct 2020","-0.54193"
"2020-10-29","29 Oct 2020","-0.54195"
"2020-10-30","30 Oct 2020","-0.54197"
"2020-11-02","02 Nov 2020","-0.54207"
"2020-11-03","03 Nov 2020","-0.54210"
"2020-11-04","04 Nov 2020","-0.54209"
"2020-11-05","05 Nov 2020","-0.54214"
"2020-11-06","06 Nov 2020","-0.54219"
"2020-11-09","09 Nov 2020","-0.54233"
"2020-11-10","10 Nov 2020","-0.54236"
"2020-11-11","11 Nov 2020","-0.54244"
"2020-11-12","12 Nov 2020","-0.54248"
"2020-11-13","13 Nov 2020","-0.54251"
"2020-11-16","16 Nov 2020","-0.54266"
"2020-11-17","17 Nov 2020","-0.54270"
"2020-11-18","18 Nov 2020","-0.54277"
"2020-11-19","19 Nov 2020","-0.54281"
"2020-11-20","20 Nov 2020","-0.54285"
"2020-11-23","23 Nov 2020","-0.54305"
"2020-11-24","24 Nov 2020","-0.54308"
"2020-11-25","25 Nov 2020","-0.54319"
"2020-11-26","26 Nov 2020","-0.54324"
"2020-11-27","27 Nov 2020","-0.54331"
"2020-11-30","30 Nov 2020","-0.54347"
"2020-12-01","01 Dec 2020","-0.54362"
"2020-12-02","02 Dec 2020","-0.54365"
"2020-12-03","03 Dec 2020","-0.54369"
"2020-12-04","04 Dec 2020","-0.54374"
"2020-12-07","07 Dec 2020","-0.54384"
"2020-12-08","08 Dec 2020","-0.54387"
"2020-12-09","09 Dec 2020","-0.54395"
"2020-12-10","10 Dec 2020","-0.54399"
"2020-12-11","11 Dec 2020","-0.54402"
"2020-12-14","14 Dec 2020","-0.54412"
"2020-12-15","15 Dec 2020","-0.54415"
"2020-12-16","16 Dec 2020","-0.54419"
"2020-12-17","17 Dec 2020","-0.54423"
"2020-12-18","18 Dec 2020","-0.54428"
"2020-12-21","21 Dec 2020","-0.54441"
"2020-12-22","22 Dec 2020","-0.54444"
"2020-12-23","23 Dec 2020","-0.54453"
"2020-12-24","24 Dec 2020","-0.54456"
"2020-12-28","28 Dec 2020","-0.54463"
"2020-12-29","29 Dec 2020","-0.54465"
"2020-12-30","30 Dec 2020","-0.54472"
"2020-12-31","31 Dec 2020","-0.54476"
"2021-01-04","04 Jan 2021","-0.54525"
"2021-01-05","05 Jan 2021","-0.54530"
"2021-01-06","06 Jan 2021","-0.54543"
"2021-01-07","07 Jan 2021","-0.54551"
"2021-01-08","08 Jan 2021","-0.54557"
"2021-01-11","11 Jan 2021","-0.54574"
"2021-01-12","12 Jan 2021","-0.54578"
"2021-01-13","13 Jan 2021","-0.54591"
"2021-01-14","14 Jan 2021","-0.54598"
"2021-01-15","15 Jan 2021","-0.54605"
"2021-01-18","18 Jan 2021","-0.54625"
"2021-01-19","19 Jan 2021","-0.54630"
"2021-01-20","20 Jan 2021","-0.54644"
"2021-01-21","21 Jan 2021","-0.54651"
"2021-01-22","22 Jan 2021","-0.54658"
"2021-01-25","25 Jan 2021","-0.54674"
"2021-01-26","26 Jan 2021","-0.54678"
"2021-01-27","27 Jan 2021","-0.54691"
"2021-01-28","28 Jan 2021","-0.54698"
"2021-01-29","29 Jan 2021","-0.54704"
"2021-02-01","01 Feb 2021","-0.54731"
"2021-02-02","02 Feb 2021","-0.54735"
"2021-02-03","03 Feb 2021","-0.54739"
"2021-02-04","04 Feb 2021","-0.54744"
"2021-02-05","05 Feb 2021","-0.54752"
"2021-02-08","08 Feb 2021","-0.54772"
"2021-02-09","09 Feb 2021","-0.54775"
"2021-02-10","10 Feb 2021","-0.54790"
"2021-02-11","11 Feb 2021","-0.54797"
"2021-02-12","12 Feb 2021","-0.54804"
"2021-02-15","15 Feb 2021","-0.54820"
"2021-02-16","16 Feb 2021","-0.54823"
"2021-02-17","17 Feb 2021","-0.54838"
"2021-02-18","18 Feb 2021","-0.54844"
"2021-02-19","19 Feb 2021","-0.54851"
"2021-02-22","22 Feb 2021","-0.54867"
"2021-02-23","23 Feb 2021","-0.54871"
"2021-02-24","24 Feb 2021","-0.54885"
"2021-02-25","25 Feb 2021","-0.54891"
"2021-02-26","26 Feb 2021","-0.54898"
"2021-03-01","01 Mar 2021","-0.54927"
"2021-03-02","02 Mar 2021","-0.54929"
"2021-03-03","03 Mar 2021","-0.54936"
"2021-03-04","04 Mar 2021","-0.54942"
"2021-03-05","05 Mar 2021","-0.54949"
"2021-03-08","08 Mar 2021","-0.54960"
"2021-03-09","09 Mar 2021","-0.54971"
"2021-03-10","10 Mar 2021","-0.54976"
"2021-03-11","11 Mar 2021","-0.54982"
"2021-03-12","12 Mar 2021","-0.54987"
"2021-03-15","15 Mar 2021","-0.54998"
"2021-03-16","16 Mar 2021","-0.55011"
"2021-03-17","17 Mar 2021","-0.55018"
"2021-03-18","18 Mar 2021","-0.55026"
"2021-03-19","19 Mar 2021","-0.55036"
"2021-03-22","22 Mar 2021","-0.55053"
"2021-03-23","23 Mar 2021","-0.55080"
"2021-03-24","24 Mar 2021","-0.55091"
"2021-03-25","25 Mar 2021","-0.55101"
"2021-03-26","26 Mar 2021","-0.55111"
"2021-03-29","29 Mar 2021","-0.55129"
"2021-03-30","30 Mar 2021","-0.55153"
"2021-03-31","31 Mar 2021","-0.55165"
"2021-04-01","01 Apr 2021","-0.55179"
"2021-04-06","06 Apr 2021","-0.55220"
"2021-04-07","07 Apr 2021","-0.55229"
"2021-04-08","08 Apr 2021","-0.55239"
"2021-04-09","09 Apr 2021","-0.55248"
"2021-04-12","12 Apr 2021","-0.55258"
"2021-04-13","13 Apr 2021","-0.55261"
"2021-04-14","14 Apr 2021","-0.55290"
