Date;Indicator;Value
2020-10-01;estr;-0.54162
2020-10-02;estr;-0.54164
2020-10-05;estr;-0.54168
2020-10-06;estr;-0.54171
2020-10-07;estr;-0.54167
2020-10-08;estr;-0.54168
2020-10-09;estr;-0.54168
2020-10-12;estr;-0.54171
2020-10-13;estr;-0.54174
2020-10-14;estr;-0.54172
2020-10-15;estr;-0.54174
2020-10-16;estr;-0.54176
2020-10-19;estr;-0.54181
2020-10-20;estr;-0.54183
2020-10-21;estr;-0.54183
2020-10-22;estr;-0.54184
2020-10-23;estr;-0.54186
2020-10-26;estr;-0.54191
2020-10-27;estr;-0.54193
2020-10-28;estr;-0.54193
2020-10-29;estr;-0.54195
2020-10-30;estr;-0.54197
2020-11-02;estr;-0.54207
2020-11-03;estr;-0.5421
2020-11-04;estr;-0.54209
2020-11-05;estr;-0.54214
2020-11-06;estr;-0.54219
2020-11-09;estr;-0.54233
2020-11-10;estr;-0.54236
2020-11-11;estr;-0.54244
2020-11-12;estr;-0.54248
2020-11-13;estr;-0.54251
2020-11-16;estr;-0.54266
2020-11-17;estr;-0.5427
2020-11-18;estr;-0.54277
2020-11-19;estr;-0.54281
2020-11-20;estr;-0.54285
2020-11-23;estr;-0.54305
2020-11-24;estr;-0.54308
2020-11-25;estr;-0.54319
2020-11-26;estr;-0.54324
2020-11-27;estr;-0.54331
2020-11-30;estr;-0.54347
2020-12-01;estr;-0.54362
2020-12-02;estr;-0.54365
2020-12-03;estr;-0.54369
2020-12-04;estr;-0.54374
2020-12-07;estr;-0.54384
2020-12-08;estr;-0.54387
2020-12-09;estr;-0.54395
2020-12-10;estr;-0.54399
2020-12-11;estr;-0.54402
2020-12-14;estr;-0.54412
2020-12-15;estr;-0.54415
2020-12-16;estr;-0.54419
2020-12-17;estr;-0.54423
2020-12-18;estr;-0.54428
2020-12-21;estr;-0.54441
2020-12-22;estr;-0.54444
2020-12-23;estr;-0.54453
2020-12-24;estr;-0.54456
2020-12-28;estr;-0.54463
2020-12-29;estr;-0.54465
2020-12-30;estr;-0.54472
2020-12-31;estr;-0.54476
2021-01-04;estr;-0.54525
2021-01-05;estr;-0.5453
2021-01-06;estr;-0.54543
2021-01-07;estr;-0.54551
2021-01-08;estr;-0.54557
2021-01-11;estr;-0.54574
2021-01-12;estr;-0.54578
2021-01-13;estr;-0.54591
2021-01-14;estr;-0.54598
2021-01-15;estr;-0.54605
2021-01-18;estr;-0.54625
2021-01-19;estr;-0.5463
2021-01-20;estr;-0.54644
2021-01-21;estr;-0.54651
2021-01-22;estr;-0.54658
2021-01-25;estr;-0.54674
2021-01-26;estr;-0.54678
2021-01-27;estr;-0.54691
2021-01-28;estr;-0.54698
2021-01-29;estr;-0.54704
